EPI with 20 alternatives (seed 0)
EPI with 20 alternatives (seed 0)
it |init pts | corrects | ranks |tau_min|tau_max|tau_mu |tau_med| center ok| deleted 
 1 |  3000   |    3     | 2699  |-0.210 | 1.000 | 0.448 | 0.442 |          |  1387   
 2 |  3162   |    5     | 2098  |-0.242 | 1.000 | 0.446 | 0.431 |          |  1503   
 3 |  3199   |    9     | 1552  |-0.115 | 1.000 | 0.588 | 0.610 |          |  1452   
 4 |  3319   |    18    | 1126  |-0.115 | 1.000 | 0.639 | 0.652 |          |  1607   
 5 |  3235   |    33    |  850  |-0.052 | 1.000 | 0.616 | 0.610 |          |  1544   
 6 |  3117   |    67    |  525  | 0.115 | 1.000 | 0.677 | 0.694 |          |  1405   
 7 |  3129   |   126    |  364  | 0.126 | 1.000 | 0.695 | 0.726 |          |  1585   
 8 |  3000   |   241    |  271  | 0.126 | 1.000 | 0.791 | 0.810 |          |  1363   
 9 |  3001   |   437    |  258  | 0.126 | 1.000 | 0.780 | 0.831 |          |  1588   
10 |  3000   |   893    |  167  |-0.031 | 1.000 | 0.874 | 0.936 |          |   674   
11 |  3000   |   1148   |  159  |-0.031 | 1.000 | 0.866 | 0.884 |          |   507   
12 |  3000   |   1354   |  156  |-0.031 | 1.000 | 0.872 | 0.989 |          |   551   
13 |  3000   |   1674   |  88   | 0.231 | 1.000 | 0.910 | 1.000 |          |   547   
14 |  2898   |   1978   |  46   | 0.421 | 1.000 | 0.921 | 1.000 |          |   247   
15 |  3000   |   2242   |  35   | 0.378 | 1.000 | 0.937 | 1.000 |          |   228   
16 |  3000   |   2429   |  21   | 0.452 | 1.000 | 0.953 | 1.000 |          |   237   
17 |  3000   |   2632   |  15   | 0.452 | 1.000 | 0.970 | 1.000 |          |   176   
18 |  3000   |   2801   |  10   | 0.526 | 1.000 | 0.986 | 1.000 |          |   134   
19 |  3000   |   2933   |   4   | 0.694 | 1.000 | 0.993 | 1.000 |          |   67    
20 |  3000   |   3000   |   0   | 1.000 | 1.000 | 1.000 | 1.000 |          |    0    

EPI with 20 alternatives (seed 1)
it |init pts | corrects | ranks |tau_min|tau_max|tau_mu |tau_med| center ok| deleted 
 1 |  3000   |    0     | 2729  |-0.294 | 0.968 | 0.287 | 0.294 |          |  1557   
 2 |  3023   |    0     | 2156  |-0.294 | 0.968 | 0.306 | 0.305 |          |  1525   
 3 |  3004   |    0     | 1554  |-0.315 | 0.968 | 0.331 | 0.347 |          |  1473   
 4 |  3000   |    0     | 1175  |-0.200 | 0.968 | 0.399 | 0.410 |          |  1457   
 5 |  3006   |    1     |  924  |-0.200 | 1.000 | 0.405 | 0.410 |          |  1441   
 6 |  3002   |    4     |  591  |-0.157 | 1.000 | 0.426 | 0.442 |          |  1251   
 7 |  3206   |    6     |  485  |-0.126 | 1.000 | 0.478 | 0.536 |          |  1592   
 8 |  3000   |    10    |  461  |-0.126 | 1.000 | 0.481 | 0.536 |          |  1572   
 9 |  3000   |    32    |  332  |-0.189 | 1.000 | 0.537 | 0.610 |          |  1387   
