### NEW RESULTS (NO MORE MACHINE DEPENDENT I HOPE)

EPI with 20 alternatives (seed 0)
it |init pts | corrects | ranks |tau_min|tau_max|tau_mu |tau_med| center ok| deleted 
 1 |  3000   |    3     | 2699  |-0.210 | 1.000 | 0.448 | 0.442 |          |  1387   
 2 |  3162   |    5     | 2098  |-0.242 | 1.000 | 0.446 | 0.431 |          |  1248   
 3 |  3706   |    13    | 1868  |-0.178 | 1.000 | 0.466 | 0.452 |          |  1557   
 4 |  3014   |    19    | 1501  |-0.105 | 1.000 | 0.527 | 0.536 |          |  1089   
 5 |  3598   |    31    | 1237  |-0.105 | 1.000 | 0.510 | 0.515 |          |  1683   
 6 |  3503   |    59    |  779  | 0.052 | 1.000 | 0.675 | 0.673 |          |  1581   
 7 |  3481   |   101    |  590  | 0.052 | 1.000 | 0.676 | 0.684 |          |  1063   
 8 |  3004   |   121    |  480  | 0.126 | 1.000 | 0.744 | 0.789 |          |  1093   
 9 |  3330   |   191    |  360  | 0.126 | 1.000 | 0.743 | 0.789 |          |   781   
10 |  3000   |   226    |  271  | 0.136 | 1.000 | 0.781 | 0.810 |          |   544   
11 |  3004   |   284    |  226  | 0.136 | 1.000 | 0.836 | 0.831 |          |   385   
12 |  3000   |   322    |  173  | 0.315 | 1.000 | 0.837 | 0.831 |          |   392   
13 |  3000   |   377    |  173  | 0.315 | 1.000 | 0.851 | 0.842 |          |   237   
14 |  3000   |   403    |  120  | 0.326 | 1.000 | 0.865 | 0.852 |          |   141   
15 |  3002   |   425    |  67   | 0.431 | 1.000 | 0.875 | 0.957 |          |   105   
16 |  3001   |   443    |  56   | 0.431 | 1.000 | 0.881 | 0.957 |          |   41    
17 |  3000   |   447    |  51   | 0.431 | 1.000 | 0.881 | 0.957 |          |  1226   
18 |  3001   |   748    |  34   | 0.431 | 1.000 | 0.898 | 0.968 |          |  1666   
19 |  2673   |   1486   |  19   | 0.463 | 1.000 | 0.918 | 1.000 |          |  1036   
20 |  2945   |   2685   |   9   | 0.526 | 1.000 | 0.980 | 1.000 |          |    0    

EPI with 20 alternatives (seed 1)
it |init pts | corrects | ranks |tau_min|tau_max|tau_mu |tau_med| center ok| deleted 
 1 |  3000   |    0     | 2729  |-0.294 | 0.968 | 0.287 | 0.294 |          |  1557   
 2 |  3023   |    0     | 2156  |-0.294 | 0.968 | 0.306 | 0.305 |          |  1378   
 3 |  3206   |    0     | 1782  |-0.294 | 0.968 | 0.316 | 0.305 |          |  1581   
 4 |  3142   |    1     | 1307  |-0.178 | 1.000 | 0.293 | 0.273 |          |  1615   
 5 |  3006   |    3     | 1039  |-0.200 | 1.000 | 0.322 | 0.294 |          |  1540   
 6 |  3001   |    4     |  858  |-0.242 | 1.000 | 0.360 | 0.326 |          |  1363   
 7 |  3044   |    6     |  521  |-0.157 | 1.000 | 0.386 | 0.357 |          |  1731   
 8 |  3000   |    25    |  495  |-0.252 | 1.000 | 0.561 | 0.631 |          |  1744   
 9 |  2951   |    77    |  321  | 0.105 | 1.000 | 0.773 | 0.800 |          |  1656   
10 |  2643   |   162    |  236  | 0.094 | 1.000 | 0.786 | 0.842 |          |   956   
11 |  3000   |   308    |  106  | 0.305 | 1.000 | 0.858 | 0.852 |          |   248   
12 |  2955   |   348    |  65   | 0.536 | 1.000 | 0.871 | 0.863 |          |   112   
13 |  3000   |   390    |  42   | 0.536 | 1.000 | 0.875 | 0.863 |          |   241   
14 |  2924   |   422    |  28   | 0.536 | 1.000 | 0.878 | 0.863 |          |   45    
15 |  3000   |   458    |  24   | 0.536 | 1.000 | 0.879 | 0.863 |          |    9    
16 |  3000   |   458    |  21   | 0.536 | 1.000 | 0.880 | 0.863 |          |  1212   
17 |  2989   |   775    |  12   | 0.557 | 1.000 | 0.904 | 0.863 |          |   142   
18 |  2969   |   824    |   5   | 0.747 | 1.000 | 0.918 | 0.863 |          |    8    
19 |  3000   |   840    |   4   | 0.747 | 1.000 | 0.919 | 0.863 |          |  1731   
20 |  3094   |   1988   |   2   | 0.873 | 1.000 | 0.995 | 1.000 |          |    0    

EPI with 20 alternatives (seed 2)
it |init pts | corrects | ranks |tau_min|tau_max|tau_mu |tau_med| center ok| deleted 
 1 |  3000   |    3     | 1753  |-0.105 | 1.000 | 0.376 | 0.368 |          |  1387   
 2 |  3189   |    5     | 1290  |-0.105 | 1.000 | 0.434 | 0.431 |          |  1565   
 3 |  3143   |    7     |  725  |-0.021 | 1.000 | 0.459 | 0.442 |          |  1552   
 4 |  3009   |    14    |  464  |-0.021 | 1.000 | 0.519 | 0.515 |          |  1357   
 5 |  3079   |    24    |  312  | 0.010 | 1.000 | 0.541 | 0.526 |          |   989   
 6 |  3008   |    29    |  344  |-0.031 | 1.000 | 0.553 | 0.547 |          |  1465   
 7 |  3006   |    48    |  266  |-0.031 | 1.000 | 0.528 | 0.515 |          |  2453   
 8 |  3063   |   220    |  69   | 0.168 | 1.000 | 0.677 | 0.684 |          |   356   
 9 |  3001   |   244    |  72   | 0.168 | 1.000 | 0.693 | 0.705 |          |   537   
10 |  3001   |   296    |  56   | 0.178 | 1.000 | 0.718 | 0.705 |          |   482   
